account_id,plan,usage_90d,usage_30d,usage_delta_pct,critical_tickets_30d,nps,on_time_payment_ratio,late_payments_6m,arr_usd,churned_60d,expansion_prob_proxy
ACC-0035,pro,1450.57,1350.89,-0.0687,0,43.5,0.693,1,48137.47,0,0.6178
ACC-0036,basic,1384.99,1798.81,0.2988,3,4.0,0.527,3,32496.02,1,0.4598
ACC-0037,basic,953.72,1060.32,0.1118,0,25.9,0.988,1,38594.84,0,0.6149
ACC-0038,pro,564.53,588.78,0.043,2,14.3,0.888,0,30523.8,0,0.5001
ACC-0039,basic,888.31,845.77,-0.0479,3,53.1,1.0,2,17333.33,1,0.6092
ACC-0040,pro,1076.03,985.17,-0.0844,0,14.6,0.794,0,33170.32,0,0.4884
ACC-0041,pro,929.27,988.19,0.0634,3,65.3,0.942,4,42138.23,0,0.6909
ACC-0042,enterprise,797.74,753.44,-0.0555,1,27.6,1.0,4,26021.07,0,0.4377
ACC-0043,pro,1088.51,1078.31,-0.0094,0,15.5,0.846,2,51024.64,1,0.5042
ACC-0044,basic,823.61,837.86,0.0173,0,-2.6,0.849,0,36757.31,0,0.4376
ACC-0045,enterprise,780.18,663.79,-0.1492,0,42.6,0.903,2,27179.74,0,0.5117
ACC-0046,enterprise,1109.01,1238.84,0.1171,1,61.9,0.965,2,27772.3,0,0.6825
ACC-0047,basic,859.3,1410.23,0.6411,0,43.2,0.898,1,26058.56,0,0.8246
ACC-0048,basic,1085.44,661.1,-0.3909,1,100.0,1.0,2,5231.42,1,0.7739
ACC-0049,pro,1095.62,1173.72,0.0713,0,77.9,0.845,3,22648.92,0,0.7878
ACC-0050,basic,601.2,500.65,-0.1672,1,25.8,0.741,2,27317.8,0,0.4485
ACC-0051,basic,831.57,937.2,0.127,2,25.5,1.0,2,17758.72,1,0.5661
ACC-0052,basic,1503.22,1518.62,0.0102,4,49.1,0.827,1,29065.16,1,0.5882
ACC-0053,pro,593.27,692.71,0.1676,2,9.9,0.832,0,24319.61,0,0.5246
ACC-0054,pro,259.17,326.2,0.2586,3,70.0,0.892,0,35605.38,0,0.7969
ACC-0055,pro,348.35,363.1,0.0423,0,45.8,0.908,1,33946.69,0,0.6798
ACC-0056,pro,1010.19,1261.78,0.2491,1,42.7,0.854,2,26507.3,0,0.7092
ACC-0057,pro,1010.82,489.49,-0.5157,1,55.6,0.898,0,3491.81,0,0.597
ACC-0058,pro,958.84,1294.33,0.3499,0,86.7,0.895,0,50860.84,0,0.8707
ACC-0059,basic,1424.97,1542.55,0.0825,1,40.1,0.921,1,21871.64,0,0.6462
ACC-0060,basic,80.0,98.97,0.2371,1,31.6,0.617,2,22786.7,1,0.6329
ACC-0061,pro,1138.58,833.01,-0.2684,0,80.3,1.0,0,18862.19,0,0.741
ACC-0062,pro,1546.5,1263.85,-0.1828,0,64.0,0.882,0,16673.83,1,0.6853
ACC-0063,pro,605.28,624.71,0.0321,1,25.4,0.97,1,47160.87,0,0.5691
ACC-0064,pro,867.07,863.82,-0.0037,2,35.2,0.735,0,44790.66,0,0.5742
ACC-0065,pro,736.49,782.35,0.0623,1,40.9,0.843,2,30665.9,1,0.6351
ACC-0066,pro,686.98,850.89,0.2386,0,45.9,0.819,0,22387.5,0,0.7417
ACC-0067,pro,885.81,541.81,-0.3883,1,-5.7,1.0,1,33286.77,1,0.3076
ACC-0068,basic,1499.62,1820.9,0.2142,2,-11.3,0.83,0,25106.95,1,0.426
ACC-0069,basic,1643.09,1646.08,0.0018,1,8.4,0.991,1,21146.66,0,0.4625
ACC-0070,pro,882.42,842.86,-0.0448,1,6.1,0.822,2,29071.59,0,0.416
ACC-0071,basic,1666.77,1127.33,-0.3236,0,15.7,0.846,0,17382.63,1,0.4263
ACC-0072,pro,1012.45,1124.5,0.1107,2,54.0,0.871,3,27783.96,0,0.6838
ACC-0073,enterprise,1613.79,756.7,-0.5311,3,29.9,1.0,0,27063.31,1,0.3567
ACC-0074,basic,967.35,1105.33,0.1426,3,40.9,0.673,0,33044.04,0,0.6232
ACC-0075,basic,1045.87,702.55,-0.3283,1,-1.7,0.742,2,14712.95,1,0.2986
ACC-0076,basic,1127.92,1141.18,0.0118,1,21.2,0.666,1,34652.05,0,0.5053
ACC-0077,basic,2112.6,2057.21,-0.0262,0,52.6,0.769,1,10405.33,0,0.6709
ACC-0078,pro,1297.95,1631.91,0.2573,0,52.8,0.803,2,15411.5,0,0.7596
ACC-0079,pro,752.46,722.88,-0.0393,1,13.3,0.706,0,16066.12,0,0.4696
ACC-0080,pro,1339.15,1134.65,-0.1527,0,39.8,0.812,2,7919.22,1,0.5652
ACC-0081,pro,873.36,776.02,-0.1115,1,100.0,0.658,0,39234.93,0,0.8083
ACC-0082,pro,828.59,1060.62,0.28,3,34.5,0.778,1,9464.21,0,0.6517
ACC-0083,enterprise,1318.01,1473.52,0.118,0,14.2,1.0,0,13516.25,0,0.5041
ACC-0084,basic,1010.88,925.12,-0.0848,1,29.8,0.948,0,42831.12,1,0.5441
ACC-0085,basic,1097.5,1040.41,-0.052,3,37.8,0.922,0,15441.26,0,0.5491
ACC-0086,basic,1004.89,658.43,-0.3448,1,30.5,0.78,1,21177.86,0,0.4575
ACC-0087,pro,1117.8,1213.34,0.0855,1,34.1,0.716,0,8819.56,0,0.6241
ACC-0088,pro,1148.74,703.99,-0.3872,0,-8.3,0.763,1,36494.27,0,0.3001
ACC-0089,basic,322.06,375.33,0.1654,1,6.1,0.895,0,36701.04,1,0.5232
ACC-0090,pro,1233.3,1268.2,0.0283,1,30.5,1.0,0,35084.19,0,0.6049
ACC-0091,basic,656.29,1000.93,0.5251,3,30.0,1.0,3,32062.95,1,0.7062
ACC-0092,pro,495.2,375.34,-0.242,0,18.0,0.976,0,25103.84,0,0.4675
ACC-0093,pro,979.56,957.43,-0.0226,1,29.7,0.811,0,16134.35,0,0.5679
ACC-0094,basic,1029.39,1436.65,0.3956,5,36.8,0.903,1,11775.46,1,0.6628
ACC-0095,basic,757.27,955.76,0.2621,2,61.7,0.861,2,43348.58,0,0.7636
ACC-0096,pro,1290.86,1093.14,-0.1532,1,32.0,0.876,1,35472.06,1,0.5197
ACC-0097,basic,530.24,556.37,0.0493,0,47.0,1.0,1,13600.44,0,0.685
ACC-0098,basic,857.57,857.95,0.0004,0,18.8,0.689,2,24597.48,1,0.5018
ACC-0099,basic,795.29,844.63,0.062,0,52.2,0.872,1,19498.27,0,0.7036
ACC-0100,enterprise,983.69,832.49,-0.1537,2,46.3,1.0,0,7076.84,0,0.515
ACC-0101,enterprise,1097.6,1076.03,-0.0197,1,61.0,0.724,2,26664.77,0,0.6185
ACC-0102,pro,647.24,419.69,-0.3516,1,56.4,0.823,2,17767.61,0,0.5898
ACC-0103,basic,1253.5,1290.76,0.0297,1,52.7,0.837,0,9711.95,0,0.686
ACC-0104,enterprise,1022.05,1123.24,0.099,2,32.0,0.873,1,1813.01,1,0.526
ACC-0105,pro,337.82,320.92,-0.05,1,42.3,0.708,1,1500.0,0,0.5999
ACC-0106,pro,314.49,202.75,-0.3553,4,66.9,0.971,0,18428.61,0,0.6073
ACC-0107,pro,995.69,1212.23,0.2175,3,15.4,0.98,3,22723.58,0,0.5253
ACC-0108,basic,922.66,996.65,0.0802,2,16.1,0.961,0,10870.49,1,0.5207
ACC-0109,basic,963.8,809.86,-0.1597,1,40.4,0.796,1,33761.09,0,0.5432
ACC-0110,enterprise,990.21,929.08,-0.0617,0,47.5,0.91,1,23016.8,0,0.5775
ACC-0111,pro,1078.95,722.73,-0.3301,2,10.3,0.792,1,32653.28,0,0.351
ACC-0112,basic,1331.68,1031.26,-0.2256,0,32.8,0.86,3,21256.34,1,0.4888
ACC-0113,basic,611.11,538.81,-0.1183,3,32.2,1.0,1,12193.24,1,0.4872
ACC-0114,pro,589.81,749.21,0.2703,1,-31.5,0.911,0,25711.76,0,0.3882
ACC-0115,basic,617.34,530.48,-0.1407,1,28.4,0.757,0,5059.88,0,0.4988
ACC-0116,enterprise,1101.12,1256.21,0.1408,1,30.3,0.922,0,32091.58,1,0.5668
ACC-0117,pro,1435.73,1265.7,-0.1184,1,30.2,0.738,1,9942.76,0,0.5135
ACC-0118,pro,849.03,895.34,0.0545,2,77.5,0.756,1,37773.49,1,0.7679
ACC-0119,pro,124.41,120.54,-0.0311,1,-1.5,0.775,2,18923.16,1,0.3812
ACC-0120,pro,403.6,481.12,0.1921,1,10.3,0.847,0,39938.0,0,0.5607
ACC-0121,pro,708.44,625.08,-0.1177,1,-43.4,1.0,1,7160.65,1,0.2066
ACC-0122,pro,804.79,526.37,-0.346,1,20.6,0.969,0,13833.45,0,0.4449
ACC-0123,basic,857.06,596.49,-0.304,1,23.1,0.963,0,29714.02,1,0.452
ACC-0124,pro,1013.5,894.91,-0.117,2,19.7,0.768,1,41557.46,0,0.4394
ACC-0125,basic,890.89,646.08,-0.2748,3,68.2,0.835,1,48999.13,1,0.6133
ACC-0126,pro,1367.27,1490.66,0.0902,1,60.8,0.933,1,24620.49,0,0.74
ACC-0127,basic,763.39,685.17,-0.1025,2,37.3,0.825,0,51566.18,1,0.5419
ACC-0128,basic,698.19,1062.93,0.5224,1,23.9,0.867,1,19655.03,0,0.7243
ACC-0129,basic,1167.61,721.23,-0.3823,2,65.8,0.953,1,40481.51,1,0.6215
ACC-0130,pro,462.53,483.25,0.0448,1,34.4,0.858,1,9867.29,0,0.6097
ACC-0131,basic,1136.39,854.4,-0.2481,0,10.5,0.927,0,30303.01,1,0.4153
ACC-0132,enterprise,1035.89,923.45,-0.1085,2,-16.5,1.0,0,1500.0,1,0.2423
ACC-0133,pro,948.4,977.9,0.0311,0,21.8,0.879,1,7176.13,0,0.5656
ACC-0134,basic,1555.9,759.93,-0.5116,0,57.6,1.0,1,31000.15,0,0.6161
ACC-0135,pro,782.23,822.98,0.0521,1,100.0,0.967,1,4313.42,0,0.8448
ACC-0136,basic,1721.1,2441.63,0.4186,2,36.8,0.724,2,30404.24,1,0.7092
ACC-0137,enterprise,921.1,829.21,-0.0998,1,12.0,0.768,0,37596.87,1,0.3722
ACC-0138,pro,553.04,584.65,0.0572,1,-0.5,0.8,3,16480.2,1,0.411
ACC-0139,pro,1024.47,1255.47,0.2255,1,51.6,0.797,1,9465.71,1,0.7403
ACC-0140,basic,623.31,600.83,-0.0361,2,-17.9,0.889,0,16887.2,1,0.3053
ACC-0141,pro,736.89,642.7,-0.1278,2,51.5,0.974,1,9512.82,0,0.6117
ACC-0142,pro,1138.96,568.73,-0.5007,0,59.5,1.0,2,22481.8,0,0.6243
ACC-0143,enterprise,1194.45,1362.89,0.141,1,48.1,0.937,1,25531.36,0,0.6393
ACC-0144,pro,782.24,762.77,-0.0249,0,28.4,0.847,0,19409.85,0,0.5836
ACC-0145,pro,1345.59,1045.81,-0.2228,1,51.9,0.65,1,49115.39,0,0.5803
ACC-0146,basic,1405.13,1444.26,0.0279,2,40.1,0.908,1,13208.94,0,0.6035
ACC-0147,basic,1502.71,1309.74,-0.1284,0,11.7,0.903,3,44871.5,0,0.4178
ACC-0148,pro,1185.29,1047.5,-0.1163,1,90.5,0.922,1,8381.41,1,0.7827
ACC-0149,pro,1477.2,1674.23,0.1334,1,24.4,1.0,3,25091.66,1,0.5847
ACC-0150,basic,341.72,241.1,-0.2944,1,58.3,1.0,0,41746.58,0,0.6306
ACC-0151,enterprise,888.73,1093.51,0.2304,0,-37.6,0.994,1,40970.36,1,0.2958
ACC-0152,enterprise,696.55,482.37,-0.3075,1,73.3,0.785,0,17696.13,0,0.6205
ACC-0153,basic,1041.73,889.85,-0.1458,0,79.1,0.838,1,32326.05,0,0.7398
ACC-0154,pro,799.99,1138.43,0.423,2,35.9,0.889,4,30317.69,0,0.7061
ACC-0155,basic,941.84,1175.44,0.248,4,51.8,0.807,0,15900.91,0,0.7004
ACC-0156,pro,1658.76,1694.38,0.0215,2,51.8,0.96,1,33239.25,0,0.6677
ACC-0157,basic,940.6,745.97,-0.2069,0,15.7,0.943,0,51937.38,1,0.4475
ACC-0158,pro,1144.83,1011.52,-0.1164,0,51.4,0.769,0,31075.51,1,0.6497
ACC-0159,pro,918.71,933.52,0.0161,0,10.7,1.0,5,32495.35,0,0.4662
ACC-0160,pro,1026.5,1034.97,0.0083,2,16.7,0.912,3,34082.32,0,0.4634
ACC-0161,basic,1002.11,982.07,-0.02,2,68.8,0.693,0,2085.35,1,0.7107
ACC-0162,enterprise,1156.91,1149.07,-0.0068,2,64.2,0.894,1,30903.37,0,0.6396
ACC-0163,basic,1407.86,1341.46,-0.0472,1,13.8,0.934,1,8748.61,1,0.4652
ACC-0164,basic,1576.59,1076.44,-0.3172,2,13.0,1.0,0,15151.7,1,0.3805
ACC-0165,pro,1108.37,982.42,-0.1136,0,15.6,0.86,0,56429.13,0,0.4865
ACC-0166,basic,1206.34,1449.08,0.2012,0,57.0,0.999,3,20201.08,0,0.7553
ACC-0167,enterprise,597.2,417.42,-0.301,0,5.0,0.922,0,12897.39,1,0.3242
ACC-0168,enterprise,969.24,928.82,-0.0417,1,45.7,0.742,1,41288.74,1,0.5487
ACC-0169,basic,1329.1,1089.4,-0.1803,0,57.4,0.73,0,9784.84,0,0.6438
ACC-0170,enterprise,1303.09,1335.01,0.0245,2,32.4,1.0,3,17288.71,0,0.4832
ACC-0171,basic,1074.06,982.23,-0.0855,2,65.3,1.0,1,42735.78,0,0.6834
ACC-0172,pro,1310.24,1736.1,0.325,0,25.9,0.939,0,24641.51,0,0.699
ACC-0173,basic,1171.77,1302.36,0.1114,4,28.6,1.0,1,1500.0,0,0.5405
ACC-0174,enterprise,1420.11,1010.27,-0.2886,1,5.7,1.0,2,32159.84,1,0.2925
ACC-0175,basic,1101.28,1263.9,0.1477,3,65.5,0.982,0,18053.01,0,0.7504
ACC-0176,basic,875.51,726.3,-0.1704,1,12.0,0.791,0,47097.77,0,0.4062
ACC-0177,pro,1117.54,975.68,-0.1269,0,45.5,1.0,0,14907.2,0,0.6326
ACC-0178,enterprise,80.0,85.52,0.069,0,32.9,0.964,3,39768.39,0,0.5444
ACC-0179,enterprise,1134.01,1011.33,-0.1082,1,3.4,0.854,1,50635.47,1,0.3242
ACC-0180,pro,80.0,95.71,0.1964,0,16.7,0.82,1,11235.85,0,0.6017
ACC-0181,enterprise,396.79,329.18,-0.1704,0,76.5,0.931,2,21101.8,0,0.6587
ACC-0182,enterprise,1158.12,1000.42,-0.1362,2,41.0,0.699,0,29829.38,1,0.473
ACC-0183,pro,1167.14,998.6,-0.1444,0,4.7,0.984,0,11139.81,0,0.429
ACC-0184,basic,593.15,519.34,-0.1244,1,44.2,0.786,1,28054.42,0,0.5755
ACC-0185,pro,750.76,932.32,0.2418,1,30.6,0.944,0,20626.2,0,0.6783
ACC-0186,pro,1479.69,1684.38,0.1383,1,100.0,0.837,0,20323.99,1,0.8599
ACC-0187,basic,830.59,1143.05,0.3762,1,43.6,0.868,2,24734.08,0,0.7462
ACC-0188,basic,1785.02,2675.54,0.4989,3,23.6,0.809,0,25068.97,0,0.6867
ACC-0189,pro,999.33,772.72,-0.2268,0,77.6,0.881,0,26458.21,0,0.7296
ACC-0190,basic,1142.81,1160.52,0.0155,2,-20.2,1.0,1,15017.6,1,0.3109
ACC-0191,enterprise,1565.91,1160.71,-0.2588,1,37.8,1.0,0,15672.42,0,0.4697
ACC-0192,basic,1045.86,866.94,-0.1711,3,94.8,0.943,1,22221.19,0,0.7532
ACC-0193,basic,649.18,559.19,-0.1386,0,31.5,0.897,0,23328.64,0,0.549
ACC-0194,enterprise,961.6,737.95,-0.2326,1,-17.0,1.0,2,17417.26,1,0.2114
ACC-0195,basic,987.54,759.01,-0.2314,2,23.1,1.0,0,28859.09,0,0.4396
ACC-0196,basic,522.34,505.76,-0.0317,0,78.6,0.8,1,1500.0,0,0.7683
ACC-0197,pro,910.46,666.75,-0.2677,0,46.3,0.891,0,13043.01,0,0.5975
ACC-0198,enterprise,740.23,877.37,0.1853,1,9.8,0.681,2,19801.08,0,0.4452
ACC-0199,basic,1323.53,1056.3,-0.2019,0,14.4,1.0,1,11158.27,1,0.4343
ACC-0200,basic,1012.11,1637.71,0.6181,1,18.2,1.0,1,48437.97,0,0.738
ACC-0201,pro,901.02,811.55,-0.0993,1,45.8,0.91,0,24282.93,0,0.622
ACC-0202,enterprise,962.84,978.09,0.0158,1,75.1,0.645,1,26651.55,0,0.6951
ACC-0203,pro,1078.09,770.86,-0.285,3,66.6,0.973,2,16751.54,0,0.613
ACC-0204,basic,1215.88,1672.26,0.3753,2,48.7,0.792,2,23763.32,1,0.7461
ACC-0205,basic,650.1,810.21,0.2463,1,-4.9,0.82,0,5771.2,1,0.4943
ACC-0206,basic,635.44,676.95,0.0653,0,-4.8,0.975,1,21452.74,0,0.4441
ACC-0207,basic,1386.64,975.78,-0.2963,1,51.0,0.931,1,9944.87,0,0.5796
ACC-0208,pro,855.68,895.34,0.0463,1,-5.4,0.841,2,19838.95,1,0.3978
ACC-0209,basic,504.11,379.74,-0.2467,1,28.2,0.822,1,1500.0,1,0.4608
ACC-0210,pro,1155.33,1527.03,0.3217,1,44.1,0.915,1,7079.95,0,0.7465
ACC-0211,pro,1162.18,1369.07,0.178,0,0.9,0.851,0,45958.9,1,0.5304
ACC-0212,pro,464.25,474.0,0.021,0,4.3,0.767,0,36455.97,1,0.4772
ACC-0213,basic,1080.32,501.26,-0.536,0,32.2,0.86,1,43785.59,1,0.4743
ACC-0214,enterprise,1257.45,985.4,-0.2164,0,50.1,0.941,0,44815.82,0,0.5468
ACC-0215,pro,1131.04,1302.17,0.1513,0,66.8,0.879,0,34094.81,0,0.7873
ACC-0216,pro,1221.19,1547.05,0.2668,1,53.2,0.73,0,17206.97,0,0.761
ACC-0217,basic,508.51,632.59,0.244,0,37.2,1.0,0,8441.24,0,0.7145
ACC-0218,basic,1115.86,725.04,-0.3502,0,12.6,0.571,1,41201.17,0,0.3757
ACC-0219,enterprise,894.08,953.4,0.0663,0,2.9,0.846,0,24968.52,1,0.4203
ACC-0220,basic,831.02,1016.69,0.2234,1,19.7,0.826,2,61410.34,0,0.5857
ACC-0221,basic,1304.69,828.7,-0.3648,1,47.3,0.918,0,18523.53,1,0.5643
ACC-0222,pro,1517.75,1515.11,-0.0017,0,45.1,0.967,0,53593.44,0,0.672
ACC-0223,pro,1628.03,1726.11,0.0602,1,-28.0,1.0,1,21648.12,0,0.3202
ACC-0224,enterprise,1460.18,1363.57,-0.0662,0,11.4,0.815,0,44040.73,0,0.4074
ACC-0225,basic,961.59,569.77,-0.4075,0,71.1,0.97,1,49450.38,0,0.6843
ACC-0226,enterprise,1123.45,1042.95,-0.0717,4,37.4,0.923,0,8655.75,0,0.4518
ACC-0227,basic,1268.39,1177.05,-0.072,1,-7.5,0.695,0,16725.03,1,0.3444
ACC-0228,pro,1042.41,1008.45,-0.0326,1,100.0,1.0,2,8505.31,0,0.8263
ACC-0229,pro,1045.77,916.13,-0.124,2,34.1,0.727,1,5550.83,1,0.5065
ACC-0230,basic,1288.31,1162.75,-0.0975,2,46.5,0.95,4,34006.0,0,0.552
ACC-0231,basic,979.25,970.7,-0.0087,1,47.0,0.947,0,21050.57,1,0.6547
ACC-0232,pro,744.75,817.24,0.0973,3,24.0,0.933,1,24785.49,1,0.5395
ACC-0233,enterprise,854.93,797.68,-0.067,2,13.2,0.841,1,32343.59,1,0.3621
ACC-0234,pro,1221.87,1111.75,-0.0901,0,98.7,0.999,0,1500.0,0,0.8223
ACC-0235,enterprise,1001.05,1021.39,0.0203,0,65.1,0.713,2,43301.49,0,0.6657
ACC-0236,enterprise,1119.07,646.15,-0.4226,1,59.7,0.892,0,18763.59,0,0.553
ACC-0237,pro,1234.53,1364.09,0.1049,2,52.3,0.832,2,31986.02,1,0.6816
ACC-0238,pro,868.81,868.7,-0.0001,0,4.9,0.819,1,33310.69,0,0.4639
ACC-0239,basic,1264.69,1275.73,0.0087,1,73.3,0.951,0,44561.95,1,0.762
ACC-0240,basic,1132.59,1371.98,0.2114,2,9.7,1.0,2,22427.14,1,0.5209
ACC-0241,enterprise,567.82,323.87,-0.4296,1,43.5,0.859,1,1500.0,1,0.4572
ACC-0242,pro,1504.81,851.35,-0.4342,1,-14.2,0.994,2,24856.91,1,0.2619
ACC-0243,basic,824.74,874.42,0.0602,2,-26.2,0.906,0,27010.6,1,0.3044
ACC-0244,pro,420.72,420.06,-0.0016,1,44.5,0.793,1,8486.09,0,0.635
ACC-0245,pro,634.23,657.98,0.0374,0,10.7,0.869,0,26212.36,1,0.524
ACC-0246,enterprise,642.63,577.3,-0.1017,0,-24.7,0.864,2,18584.72,0,0.2231
ACC-0247,pro,1018.26,1167.09,0.1462,0,51.2,0.816,0,3858.69,0,0.7344
ACC-0248,pro,904.15,1089.67,0.2052,1,98.6,0.951,2,34072.27,0,0.8654
ACC-0249,basic,882.11,976.03,0.1065,1,76.7,0.928,2,15544.12,0,0.7867
ACC-0250,pro,1216.9,1147.07,-0.0574,0,27.3,0.709,0,17904.31,1,0.556
ACC-0251,pro,1118.96,600.11,-0.4637,1,35.3,0.702,0,17061.32,0,0.4842
ACC-0252,enterprise,1110.62,1298.57,0.1692,3,61.6,0.951,1,42532.18,0,0.6767
ACC-0253,pro,1143.44,1450.77,0.2688,1,68.7,0.802,1,23386.26,1,0.8065
ACC-0254,basic,1215.65,1388.03,0.1418,2,24.7,0.936,0,25186.5,0,0.5869
ACC-0255,basic,262.22,211.47,-0.1935,0,36.0,0.994,2,17390.46,0,0.534
ACC-0256,pro,872.45,1001.77,0.1482,0,44.0,0.747,1,30943.0,1,0.6991
ACC-0257,enterprise,236.93,281.78,0.1893,0,51.6,0.731,0,44239.77,0,0.6791
ACC-0258,basic,1012.62,1359.89,0.3429,3,31.0,1.0,0,33717.91,0,0.6765
ACC-0259,basic,998.38,805.95,-0.1927,1,31.4,0.942,1,34303.0,1,0.4953
ACC-0260,pro,1365.94,1297.89,-0.0498,1,76.4,0.85,0,33093.45,1,0.7572
ACC-0261,basic,1415.67,1648.41,0.1644,0,71.3,0.788,0,3296.36,0,0.798
ACC-0262,enterprise,1070.97,1084.5,0.0126,1,49.3,0.839,1,10858.22,1,0.5932
ACC-0263,basic,824.87,622.11,-0.2458,1,86.6,0.757,1,20925.19,0,0.7311
ACC-0264,basic,1169.81,1276.51,0.0912,0,23.4,1.0,1,13112.04,0,0.5965
ACC-0265,enterprise,815.23,919.01,0.1273,3,83.7,0.807,0,8031.94,0,0.7488
ACC-0266,basic,999.51,1018.85,0.0194,3,51.3,1.0,2,1500.0,1,0.627
ACC-0267,basic,1345.15,1410.13,0.0483,0,100.0,0.852,1,3802.06,0,0.845
ACC-0268,basic,804.78,758.98,-0.0569,0,-0.8,0.775,0,20152.12,0,0.4106
ACC-0269,basic,1281.99,1698.92,0.3252,1,14.3,0.849,1,22958.6,0,0.6129
ACC-0270,basic,1237.09,991.96,-0.1982,0,47.6,0.585,1,12104.19,0,0.5697
ACC-0271,basic,665.82,579.79,-0.1292,0,46.9,0.886,1,25183.88,1,0.6153
ACC-0272,basic,1340.86,1344.1,0.0024,1,93.5,0.88,1,17492.5,0,0.8143
ACC-0273,basic,1244.5,1485.15,0.1934,3,14.9,0.999,2,40358.6,1,0.5163
ACC-0274,pro,1035.67,694.5,-0.3294,1,62.1,0.674,0,21575.61,0,0.6312
ACC-0275,pro,733.19,521.83,-0.2883,1,69.9,1.0,0,34444.96,0,0.6889
ACC-0276,basic,699.28,385.79,-0.4483,0,56.1,0.998,0,27048.21,0,0.6255
ACC-0277,basic,811.82,817.66,0.0072,1,6.2,1.0,1,2968.93,0,0.4542
ACC-0278,pro,1189.91,897.16,-0.246,2,77.2,0.894,2,22640.13,0,0.682
ACC-0279,enterprise,665.53,609.23,-0.0846,1,71.9,1.0,0,5465.64,0,0.6711
ACC-0280,enterprise,1153.13,1320.91,0.1455,2,53.0,0.723,0,22378.19,0,0.6433
ACC-0281,basic,565.39,485.59,-0.1411,0,41.1,0.986,1,12823.04,1,0.5902
ACC-0282,basic,928.58,975.82,0.0509,1,41.8,0.807,0,29729.45,0,0.6444
ACC-0283,basic,1038.38,970.0,-0.0659,3,32.6,0.702,3,3864.68,1,0.4665
ACC-0284,basic,1855.8,2130.2,0.1479,2,54.2,0.765,1,24220.53,0,0.702
